Rk,Tm,Year,Date,Time,LTime,Column3,Opp,Week,G#,Day,Result,OT,Spread,,vs. Line,Over/Under,OU Result
1,91,GNB,2007,10/29/2007,8:40,6:40,@,DEN,8,7,Mon,W 19-13,OT,3,covered,43.5,under
2,92,NYJ,2007,11/18/2007,4:05,4:05,NA,PIT,11,10,Sun,W 19-16,OT,9.5,covered,40.5,under
3,93,SFO,2007,11/25/2007,4:06,2:06,@,ARI,12,11,Sun,W 37-31,OT,10.5,covered,38,over
4,94,MIA,2007,12/16/2007,1:03,1:03,NA,BAL,15,14,Sun,W 22-16,OT,3,covered,37.5,over
5,95,DEN,2007,12/30/2007,4:16,2:16,NA,MIN,17,16,Sun,W 22-19,OT,3,covered,40.5,over
6,96,SFO,2008,9/14/2008,4:06,1:06,@,SEA,2,2,Sun,W 33-30,OT,6.5,covered,38,over
7,97,TAM,2008,9/21/2008,1:02,12:02,@,CHI,3,3,Sun,W 27-24,OT,3,covered,35,over
8,98,ARI,2008,10/12/2008,4:15,1:15,NA,DAL,6,6,Sun,W 30-24,OT,5,covered,53,over
9,99,OAK,2008,10/19/2008,4:15,1:15,NA,NYJ,7,6,Sun,W 16-13,OT,3,covered,41,under
10,100,NYJ,2008,11/13/2008,8:15,8:15,@,NWE,11,10,Thu,W 34-31,OT,3.5,covered,42.5,over
11,101,DEN,2009,10/11/2009,4:16,2:16,NA,NWE,5,5,Sun,W 20-17,OT,3,covered,41.5,under
12,102,BUF,2009,10/18/2009,4:15,4:15,@,NYJ,6,6,Sun,W 16-13,OT,9.5,covered,35.5,under
13,103,KAN,2009,11/22/2009,1:00,12:00,NA,PIT,11,10,Sun,W 27-24,OT,11.5,covered,39.5,over
14,104,TAM,2009,12/27/2009,1:03,12:03,@,NOR,16,15,Sun,W 20-17,OT,14,covered,48.5,under
15,105,CHI,2009,12/28/2009,8:40,7:40,NA,MIN,16,15,Mon,W 36-30,OT,8.5,covered,42,over
16,106,PIT,2010,9/12/2010,1:02,1:02,NA,ATL,1,1,Sun,W 15-9,OT,1.5,covered,39.5,under
17,107,ATL,2010,9/26/2010,1:03,12:03,@,NOR,3,3,Sun,W 27-24,OT,3,covered,49.5,over
18,108,WAS,2010,10/10/2010,1:02,1:02,NA,GNB,5,5,Sun,W 16-13,OT,3,covered,45.5,under
19,109,MIA,2010,10/17/2010,1:02,12:02,@,GNB,6,5,Sun,W 23-20,OT,3,covered,44,under
20,110,OAK,2010,11/7/2010,4:15,1:15,NA,KAN,9,9,Sun,W 23-20,OT,0,covered,41,over
21,111,WAS,2010,11/21/2010,1:03,12:03,@,TEN,11,10,Sun,W 19-16,OT,7,covered,44.5,under
22,112,DAL,2010,12/5/2010,4:15,4:15,@,IND,13,12,Sun,W 38-35,OT,5.5,covered,48,over
23,113,DET,2010,12/19/2010,1:03,1:03,@,TAM,15,14,Sun,W 23-20,OT,4,covered,43,push
24,114,WAS,2010,12/26/2010,1:03,1:03,@,JAX,16,15,Sun,W 20-17,OT,6.5,covered,45,under
25,115,KAN,2011,10/31/2011,8:40,7:40,NA,SDG,8,7,Mon,W 23-20,OT,3,covered,44.5,under
26,116,NOR,2011,11/13/2011,1:03,1:03,@,ATL,10,10,Sun,W 26-23,OT,1,covered,50,under
27,117,DEN,2011,11/27/2011,4:15,1:15,@,SDG,12,11,Sun,W 16-13,OT,5.5,covered,42,under
28,118,ARI,2011,12/4/2011,4:15,2:15,NA,DAL,13,12,Sun,W 19-13,OT,4.5,covered,46.5,under
29,119,OAK,2011,12/24/2011,1:03,12:03,@,KAN,16,15,Sat,W 16-13,OT,3,covered,43,under
