Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,Spread,vs. Line,Over/Under,OU Result
1,Cardinals,2011,1/1/12,4:15,2:15,,Seahawks,17,16,Sun,W 23-20,-2.5,covered,40.5,over
2,Chiefs,2011,12/24/11,1:03,12:03,,Raiders,16,15,Sat,L 13-16,-3,not covered,43,under
3,Cardinals,2011,12/18/11,4:15,2:15,,Browns,15,14,Sun,W 20-17,-6.5,not covered,37.5,under
4,Broncos,2011,12/11/11,4:05,2:05,,Bears,14,13,Sun,W 13-10,-3.5,not covered,35.5,under
5,Cowboys,2011,12/4/11,4:15,2:15,@,Cardinals,13,12,Sun,L 13-19,-4.5,not covered,46.5,under
6,Chargers,2011,11/27/11,4:15,1:15,,Broncos,12,11,Sun,L 13-16,-5.5,not covered,42,under
7,Cowboys,2011,11/20/11,1:03,1:03,@,Redskins,11,10,Sun,W 27-24,-7,not covered,43,over
8,Falcons,2011,11/13/11,1:03,1:03,,Saints,10,9,Sun,L 23-26,-1,not covered,50,under
9,Cardinals,2011,11/6/11,4:15,2:15,,Rams,9,8,Sun,W 19-13,-3,covered,41.5,under
10,Chargers,2011,10/31/11,8:40,7:40,@,Chiefs,8,7,Mon,L 20-23,-3,not covered,44.5,under
11,Broncos,2011,10/23/11,1:02,1:02,@,Dolphins,7,6,Sun,W 18-15,-1,covered,41.5,under
12,Lions,2011,9/25/11,1:05,12:05,@,Vikings,3,3,Sun,W 26-23,-3,push,45,over
13,Cowboys,2011,9/18/11,4:05,1:05,@,49ers,2,2,Sun,W 27-24,-3,push,41.5,over
14,Jaguars,2010,12/26/10,1:03,1:03,,Redskins,16,15,Sun,L 17-20,-6.5,not covered,45,under
15,Buccaneers,2010,12/19/10,1:03,1:03,,Lions,15,14,Sun,L 20-23,-4,not covered,43,push
16,Ravens,2010,12/13/10,8:40,7:40,@,Texans,14,13,Mon,W 34-28,-3,covered,47,over
17,Colts,2010,12/5/10,4:15,4:15,,Cowboys,13,12,Sun,L 35-38,-5.5,not covered,48,over
18,Steelers,2010,11/28/10,1:02,1:02,@,Bills,12,11,Sun,W 19-16,-7,not covered,44,under
19,Titans,2010,11/21/10,1:03,12:03,,Redskins,11,10,Sun,L 16-19,-7,not covered,44.5,under
20,Jets,2010,11/14/10,1:02,1:02,@,Browns,10,9,Sun,W 26-20,-3.5,covered,37,over
21,49ers,2010,11/14/10,4:15,1:15,,Rams,10,9,Sun,W 23-20,-4.5,not covered,39,over
23,Vikings,2010,11/7/10,1:05,12:05,,Cardinals,9,8,Sun,W 27-24,-7.5,not covered,42.5,over
24,Jets,2010,11/7/10,1:03,1:03,@,Lions,9,8,Sun,W 23-20,-5.5,not covered,42,over
25,Raiders,2010,11/7/10,4:15,1:15,,Chiefs,9,9,Sun,W 23-20,0,covered,41,over
26,Chiefs,2010,10/31/10,1:08,12:08,,Bills,8,7,Sun,W 13-10,-7,not covered,46,under
27,Ravens,2010,10/24/10,1:02,1:02,,Bills,7,7,Sun,W 37-34,-12.5,not covered,40,over
28,Packers,2010,10/17/10,1:02,12:02,,Dolphins,6,6,Sun,L 20-23,-3,not covered,44,under
29,Patriots,2010,10/17/10,1:02,1:02,,Ravens,6,5,Sun,W 23-20,-3,push,44.5,under
30,Packers,2010,10/10/10,1:02,1:02,@,Redskins,5,5,Sun,L 13-16,-3,not covered,45.5,under
31,Saints,2010,9/26/10,1:03,12:03,,Falcons,3,3,Sun,L 24-27,-3,not covered,49.5,over
32,Texans,2010,9/19/10,4:15,4:15,@,Redskins,2,2,Sun,W 30-27,-3,push,42.5,over
33,Falcons,2010,9/12/10,1:02,1:02,@,Steelers,1,1,Sun,L 9-15,-1.5,not covered,39.5,under
34,Vikings,2009,12/28/09,8:40,7:40,@,Bears,16,15,Mon,L 30-36,-8.5,not covered,42,over
35,Saints,2009,12/27/09,1:03,12:03,,Buccaneers,16,15,Sun,L 17-20,-14,not covered,48.5,under
36,Titans,2009,12/20/09,1:02,12:02,,Dolphins,15,14,Sun,W 27-24,-4.5,not covered,43,over
37,Saints,2009,12/6/09,1:03,1:03,@,Redskins,13,12,Sun,W 33-30,-8,not covered,47,over
38,Ravens,2009,11/29/09,8:30,8:30,,Steelers,12,11,Sun,W 20-17,-8,not covered,34,over
39,Giants,2009,11/22/09,1:03,1:03,,Falcons,11,10,Sun,W 34-31,-7,not covered,46.5,over
40,Steelers,2009,11/22/09,1:00,12:00,@,Chiefs,11,10,Sun,L 24-27,-11.5,not covered,39.5,over
41,Jaguars,2009,10/18/09,1:03,1:03,,Rams,6,6,Sun,W 23-20,-9.5,not covered,42.5,over
42,Jets,2009,10/18/09,4:15,4:15,,Bills,6,6,Sun,L 13-16,-9.5,not covered,35.5,under
43,Cowboys,2009,10/11/09,1:00,12:00,@,Chiefs,5,5,Sun,W 26-20,-7,not covered,43.5,over
44,Patriots,2009,10/11/09,4:16,2:16,@,Broncos,5,5,Sun,L 17-20,-3,not covered,41.5,under
45,Bengals ,2009,10/4/09,1:03,1:03,@,Browns,4,4,Sun,W 23-20,-6.5,not covered,37.5,over
46,Steelers,2009,9/10/09,8:41,8:41,,Titans,1,1,Thu,W 13-10,-6.5,not covered,35,under
47,Bears,2008,12/22/08,8:40,7:40,,Packers,16,15,Mon,W 20-17,-4,not covered,40,under
48,Giants,2008,12/21/08,8:23,8:23,,Panthers,16,15,Sun,W 34-28,-4,covered,38,over
49,Falcons,2008,12/14/08,1:03,1:03,,Buccaneers,15,14,Sun,W 13-10,-4.5,not covered,43.5,under
50,Bears,2008,12/11/08,8:14,7:14,,Saints,15,14,Thu,W 27-24,-3,push,46,over
51,PHI,2008,11/16/08,1:03,1:03,@,Bengals ,11,10,Sun,T 13-13,-9,not covered,41,under
52,Patriots,2008,11/13/08,8:15,8:15,,Jets,11,10,Thu,L 31-34,-3.5,not covered,42.5,over
53,Titans,2008,11/2/08,1:02,12:02,,Packers,9,8,Sun,W 19-16,-3.5,not covered,41,under
54,Buccaneers,2008,11/2/08,1:03,12:03,@,Chiefs,9,9,Sun,W 30-27,-9.5,not covered,36.5,over
55,Jets,2008,10/19/08,4:15,1:15,@,Raiders,7,6,Sun,L 13-16,-3,not covered,41,under
56,Cowboys,2008,10/12/08,4:15,1:15,@,Cardinals,6,6,Sun,L 24-30,-5,not covered,53,over
57,Steelers,2008,9/29/08,8:40,8:40,,Ravens,4,4,Mon,W 23-20,-6,not covered,34.5,over
58,Jaguars,2008,9/28/08,1:02,1:02,,Texans,4,4,Sun,W 30-27,-6.5,not covered,43,over
59,Bears,2008,9/21/08,1:02,12:02,,Buccaneers,3,3,Sun,L 24-27,-3,not covered,35,over
60,Giants,2008,9/21/08,1:02,1:02,,Bengals ,3,3,Sun,W 26-23,-13,not covered,42.5,over
61,Seahawks,2008,9/14/08,4:06,1:06,,49ers,2,2,Sun,L 30-33,-6.5,not covered,38,over
62,Vikings,2007,12/30/07,4:16,2:16,@,Broncos,17,16,Sun,L 19-22,-3,not covered,40.5,over
63,Jets,2007,12/30/07,4:15,4:15,,Chiefs,17,16,Sun,W 13-10,-4.5,not covered,35,under
64,Cardinals,2007,12/23/07,4:05,2:05,,Falcons,16,15,Sun,W 30-27,-10.5,not covered,43.5,over
65,Ravens,2007,12/16/07,1:03,1:03,@,Dolphins,15,14,Sun,L 16-22,-3,not covered,37.5,over
66,Chargers,2007,12/9/07,1:02,12:02,@,Titans,14,13,Sun,W 23-17,-1,covered,40,push
67,Bears,2007,11/25/07,4:16,3:16,,Broncos,12,11,Sun,W 37-34,-1,covered,41.5,over
68,Cardinals,2007,11/25/07,4:06,2:06,,49ers,12,11,Sun,L 31-37,-10.5,not covered,38,over
69,Browns,2007,11/18/07,1:02,1:02,@,Ravens,11,10,Sun,W 33-30,-2,covered,44,over
70,Steelers,2007,11/18/07,4:05,4:05,@,Jets,11,10,Sun,L 16-19,-9.5,not covered,40.5,under
71,Browns,2007,11/4/07,4:06,4:06,,Seahawks,9,8,Sun,W 33-30,-1.5,covered,47,over
72,Redskins,2007,11/4/07,1:02,1:02,@,Jets,9,8,Sun,W 23-20,-3.5,not covered,36,over
73,Broncos,2007,10/29/07,8:40,6:40,,Packers,8,7,Mon,L 13-19,-3,not covered,43.5,under
74,Broncos,2007,9/16/07,4:15,2:15,,Raiders,2,2,Sun,W 23-20,-10,not covered,37,over
75,Lions,2007,9/16/07,4:05,4:05,,Vikings,2,2,Sun,W 20-17,-3,push,42.5,under
76,Redskins,2007,9/9/07,1:02,1:02,,Dolphins,1,1,Sun,W 16-13,-3,push,34.5,unde
